,belongto,created_at,name,review
123,Battle Royale With Cheese,"November 28, 2019",Amanda Mazzillo,"Parasite is a well-made, engaging, and memorable film exploring class disparity in Korea. With its darkly comedic tone, Parasite manages to entertain, while crafting a surprising and socially relevant experience."
124,Medium Popcorn,"November 27, 2019",Nick Boyd,"While the off-beat nature of the narrative surely will not appeal to everyone, those with a desire to be taken on a thrilling ride of many twists and turns will be rewarded with an unpredictable and unsettling sharp class dissection."
125,Medium Popcorn,"November 26, 2019",Justin Brown,I was just glued to the screen...amazing.
126,Fiction Machine,"November 26, 2019",Brandon Collins,"I tried to predict what was happening, and I was wrong every time. I like that...the acting was a bit different, and it took some time to get up to speed, but I really enjoyed it."
127,Tony Baker Comedy,"November 26, 2019",Grant Watson,"It is a difficult task to review films like Parasite, because in the end you have almost certainly run out of superlatives with which to apply to it."
128,Orca Sound,"November 25, 2019",Tony Baker,"The cast is great in this film, the performances are really dope and l you really get into both families."
129,Memphis Flyer,"November 24, 2019",Carey-Ann Pawsey,"In a demonstration of masterful filmmaking director Bong Joon Ho's (Snowpiercer, The Host) latest film is uncategorizable and that is a great thing."
130,The Christian Century,"November 22, 2019",Chris McCoy,Parasite is at once a comedy and a Hitchcockian thriller with shades of mid-period Cohen Bros thrown in for good ironic measure. This film is a solid must-see for anyone who values quality filmmaking with something to say.
131,Fortune,"November 21, 2019",Kathryn Reklis,"Bong Joon-ho's magnificent genre-bending movie Parasite is a funny, deeply satirical look at class divisions, told through the intersecting lives of three families in Seoul."
132,Blu-ray.com,"November 21, 2019",Isaac Feldberg,"Parasite is a carnivorous and ferocious feat of filmmaking, bloodsport framed with a formal brilliance and brutally comic verve. It's one of the year's best."
133,America Magazine,"November 21, 2019",Andrew Wyatt,"Parasite attests to a filmmaker at the peak of powers, telling precisely the story he wants to tell in a way that showcases his distinctive virtuosity."
134,Asheville Movies,"November 20, 2019",John Anderson,"It is a sitcom with teeth and haunting moral echoes, no small amount of vulgarity and a smart streak of comedy."
135,We Bought a Blog,"November 20, 2019",Edwin Arnaudin,Bong packs his frames with visual symbolism that speaks to contemporary times and writes characters on both sides of the economic divide that feel relatable and well-rounded.
136,SSG Syndicate,"November 20, 2019",Alan French,"There's little doubt that Parasite earns the title of masterpiece, and will only grow in the public consciousness for decades to come."
137,Sarah's Backstage Pass,"November 18, 2019",Susan Granger,"Bong Joon-ho's suspenseful, timely thriller that's perhaps one of the best movies of the year."
138,About Boulder,"November 17, 2019",Sarah Knight Adamson,"The film is sarcastically brilliant, hysterical, clever, and frenzied. The cinematography is glorious! My advise, go in not knowing the details!"
139,The Jacobin,"November 17, 2019",Tim Brennan,"There's not a doubt in my mind that Parasite is one of the best films of 2019, if not the best film of the year."
140,Far Out Magazine,"November 16, 2019",Eileen Jones,"I'm still in considerable pain from watching Parasite, days later. It's that great of a film."
141,KDHX (St. Louis),"November 15, 2019",Monica Reid,"With Parasite, Bong Joon-Ho has produced a brilliant social commentary, and what might well be the best film of 2019."
142,Niagara Gazette,"November 15, 2019",Diane Carson,As with his earlier works... [director Joon-ho Bong] embeds a biting social critique in a dynamic narrative with unexpected risks and satisfying surprises.
143,Columbus Alive,"November 14, 2019",Michael Calleri,"South Korean director Bong Joon-Ho's ""Parasite"" contains everything that's exciting about his films: a grand fluidity of camera movements and a framing of shots that makes you look into corners just in case something's lurking. B"
144,Crooked Marquee,"November 11, 2019",Brad Keefe,"A twisty and uproarious thriller, ""Parasite"" packs a ton of entertainment around some sharp and timely social satire."
145,National Post,"November 11, 2019",Eric D. Snider,"A scathing satire-farce-tragedy-horror... You might not like where it goes, but you certainly won't forget it."
146,Buffalo News,"November 9, 2019",Chris Knight,"Bong leads us into this realm slowly and expertly, often relying on an eclectic soundtrack - opera one moment, a jazzy all-drums set the next - to carry us forward."
147,Reel Film Reviews,"November 8, 2019",Jeff Simon,"Parasite is a great film all right. It is not, I think, to be missed by anyone who seriously cares about movies."
148,Screen Zealots,"November 8, 2019",David Nusair,Filmmaker Bong does a superb job of immediately drawing the viewer into the deliberately-paced proceedings...
149,Mediaversity Reviews,"November 7, 2019",Louisa Moore,"One of the most intriguing, intelligent, and disturbing films of the year."
150,Fotogramas,"November 7, 2019",Elaine Cho,"Parasite exudes cultural specificity, with deep cuts to Korean headlines and reality TV shows."
151,Creative Screenwriting,"November 7, 2019",Sergi Sánchez,"It's difficult to find a recent movie that defines in such a visual way, through domestic architecture, the perverse mechanisms of domination of neoliberal capitalism. [Full Review in Spanish]"
152,One Guy's Opinion,"November 6, 2019",Rachel Wagner,"The writing is fantastic, as well as the acting, production design and score"
153,Smash Cut Reviews,"November 6, 2019",Frank Swietek,"A trenchant commentary on the economic divide that exists in today's South Korea, one made all the keener by Bong's ability to meld elements of comedy, satire, suspense and horror...one of the year's best films."
154,Seven Days,"November 6, 2019",Karl Delossantos,"Parasite very much takes place in our world. Perhaps a slightly heightened version of it, but ours nonetheless. Mixing that with his usual dark humor and oddly specific characters, Bong Joon-ho has created an experience like no other."
155,The Muse/Jezebel,"November 6, 2019",Rick Kisonak,"That's not ""savage commentary."" That's condescension. This is by far the filmmaker's most commercially successful work to date..."
156,San Antonio Current,"November 6, 2019",Cate Young,Parasite is unique in its treatment of class and solidarity and is a singular cinematic experience.
157,ChrisStuckmann.com,"November 6, 2019",Kiko Martinez,"A meticulously crafted, satirical thriller that proves to be [Bong Joon] Ho's most thematically rich project to date."
158,Battle Royale With Cheese,"November 6, 2019",Chris Stuckmann,"Parasite is a beautiful movie, wonderfully acted, impeccably shot."
159,Alternate Ending,"November 5, 2019",Caillou Pettis,"Parasite is a wholly riveting experience with an astonishingly gripping story that is rich with complex themes, developed characters, and brilliant direction."
160,The Only Critic,"November 5, 2019",Tim Brayton,"A bit overlong at 132 minutes, but generally so kinetic and vivacious that it never once feels boring."
161,Cinematic Considerations,"November 4, 2019",Nate Adams,Bong Joon-ho's wild 'Parasite' is 2019's first real masterpiece
162,El Pais (Spain),"November 4, 2019",Matt Ward,"A contender for the best film of the decade, Parasite is a thrilling, absolute masterpiece from one of the world's greatest auteur directors."
163,Detroit News,"November 4, 2019",Marta Sanz,"Do not miss this movie, it's a love song to the cinema. [Full Review in Spanish]"
